00:00:06.438 [http-nio-8032-exec-8] INFO  sys-sql - [logInfo,40] - parameter = {ew=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@3eee197d, param1=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@3eee197d}
00:00:06.438 [http-nio-8032-exec-8] INFO  sys-sql - [logInfo,43] - sqlId = org.example.core.mapper.SysUserMapper.selectList
00:00:06.439 [http-nio-8032-exec-8] INFO  sys-sql - [logInfo,48] - 完整的sql:org.example.core.mapper.SysUserMapper.selectList:SELECT user_id,role_id,account,name,sex,phone,password,review_status,status,deleted,remark,create_time,update_time FROM sys_user WHERE deleted=0 AND (user_id = 19)
00:00:06.442 [http-nio-8032-exec-8] INFO  sys-sql - [logInfo,40] - parameter = {ew=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@34e2f84a, param1=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@34e2f84a}
00:00:06.442 [http-nio-8032-exec-8] INFO  sys-sql - [logInfo,43] - sqlId = org.example.scheduleserver.mapper.SysSubmitMapper.selectList
00:00:06.442 [http-nio-8032-exec-8] INFO  sys-sql - [logInfo,48] - 完整的sql:org.example.scheduleserver.mapper.SysSubmitMapper.selectList:SELECT user_id,course_id,submit_resource FROM sys_submit WHERE (course_id = 7)
00:00:06.445 [http-nio-8032-exec-8] INFO  sys-sql - [logInfo,40] - parameter = {ew=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@4f2f76e9, param1=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@4f2f76e9}
00:00:06.445 [http-nio-8032-exec-8] INFO  sys-sql - [logInfo,43] - sqlId = org.example.core.mapper.SysUserMapper.selectList
00:00:06.445 [http-nio-8032-exec-8] INFO  sys-sql - [logInfo,48] - 完整的sql:org.example.core.mapper.SysUserMapper.selectList:SELECT user_id,role_id,account,name,sex,phone,password,review_status,status,deleted,remark,create_time,update_time FROM sys_user WHERE deleted=0 AND (user_id = 18)
00:00:06.448 [http-nio-8032-exec-8] INFO  sys-sql - [logInfo,40] - parameter = 8
00:00:06.449 [http-nio-8032-exec-8] INFO  sys-sql - [logInfo,43] - sqlId = org.example.scheduleserver.mapper.SysScheduleMapper.selectCourseById
00:00:06.449 [http-nio-8032-exec-8] INFO  sys-sql - [logInfo,48] - 完整的sql:org.example.scheduleserver.mapper.SysScheduleMapper.selectCourseById:select * from sys_course where course_id = 8
00:00:06.452 [http-nio-8032-exec-8] INFO  sys-sql - [logInfo,40] - parameter = {ew=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@53781ec9, param1=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@53781ec9}
00:00:06.452 [http-nio-8032-exec-8] INFO  sys-sql - [logInfo,43] - sqlId = org.example.core.mapper.SysChoiceMapper.selectList
00:00:06.453 [http-nio-8032-exec-8] INFO  sys-sql - [logInfo,48] - 完整的sql:org.example.core.mapper.SysChoiceMapper.selectList:SELECT choice_id,student_id,course_id,score,evaluate,upload_resource,create_time,update_time FROM sys_choice WHERE (course_id = 8)
00:00:06.456 [http-nio-8032-exec-8] INFO  sys-sql - [logInfo,40] - parameter = {ew=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@14514baa, param1=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@14514baa}
00:00:06.456 [http-nio-8032-exec-8] INFO  sys-sql - [logInfo,43] - sqlId = org.example.core.mapper.SysUserMapper.selectList
00:00:06.456 [http-nio-8032-exec-8] INFO  sys-sql - [logInfo,48] - 完整的sql:org.example.core.mapper.SysUserMapper.selectList:SELECT user_id,role_id,account,name,sex,phone,password,review_status,status,deleted,remark,create_time,update_time FROM sys_user WHERE deleted=0 AND (user_id = 9)
